,warszawa,warszawa,warszawa,warszawa,warszawa,warszawa,krakow,krakow,krakow,krakow,krakow,krakow,poznan,poznan,poznan,poznan,poznan,poznan,katowice,katowice,katowice,katowice,katowice,katowice,bialystok,bialystok,bialystok,bialystok,bialystok,bialystok
,pm25,pm10,no2,so2,o3,co,pm25,pm10,no2,so2,o3,co,pm25,pm10,no2,so2,o3,co,pm25,pm10,no2,so2,o3,co,pm25,pm10,no2,so2,o3,co
2018-11-21,22.68,26.282666666666668,51.06066666666667,1.424,44.498000000000005,498.2,37.87988666666666,41.67252285714285,24.751955000000002,5.212144,27.496199999999998,560.8779999999999,30.12744,30.951779999999996,17.683680000000003,8.351188,45.236779999999996,392.002,41.56084,42.592659999999995,20.914910000000003,9.770674000000001,23.20904,249.91,11.2,12.408,12.44,0.9,41.2,296.8
2018-11-22,25.774698795180726,31.172409638554207,39.96169014084506,3.766571428571428,41.12169491525422,544.6666666666666,43.06088030303033,53.28157597402597,31.354529000000007,5.6833147619047635,22.508110000000002,737.8471739130437,38.62032916666666,39.688341666666666,17.666756666666668,7.6923595833333325,41.097725,454.96333333333337,46.076654166666664,48.48042083333333,31.50910416666666,13.414775,15.636835416666669,303.80625000000003,12.625,20.359166666666663,19.879166666666666,0.7708333333333334,27.695652173913043,320.75
2018-11-23,32.482812499999994,38.5946875,27.50069444444445,2.762291666666666,20.025361111111106,674.0,65.07962777777782,78.74002261904762,33.69286595744682,5.756334893617022,8.069167083333335,907.6567391304347,62.896750000000004,66.36611666666667,26.16250416666667,10.555977083333334,13.237358333333331,802.9320833333335,67.66054583333333,69.71568333333333,45.78881041666667,16.33371666666667,3.306182083333334,641.0562500000001,19.458333333333332,23.777500000000003,12.904166666666669,0.6708333333333333,25.083333333333332,313.2916666666667
2018-11-24,44.751744186046515,52.56523255813952,22.325454545454537,2.6411363636363636,6.046484615384617,960.8181818181819,57.65733333333334,60.42449107142856,33.37134421052632,6.685366808510637,3.6321287499999992,1327.426458333333,73.23685416666666,76.83438749999999,27.351295833333335,13.183904166666666,3.7806712499999993,1006.5366666666667,54.79796666666666,58.3978625,42.87425000000001,12.57640208333333,3.9094329166666673,564.1479166666667,28.625,35.54791666666666,12.383333333333331,0.8958333333333335,15.541666666666666,441.5416666666667
2018-11-25,57.129999999999995,67.66097222222224,22.806481481481487,3.836666666666667,3.6214944444444437,1395.4444444444443,56.16424027777778,58.12555416666667,29.404584375,9.965788125,4.432902499999999,1223.761875,85.1344041666667,89.15707916666666,19.22318260869565,11.68372608695652,3.199074166666666,1038.9004347826087,46.836170833333334,48.38715,33.07022291666666,14.028568125000007,6.624482500000002,315.08608695652174,38.375,50.09041666666667,12.091666666666669,0.8958333333333336,2.0416666666666665,552.25
2018-11-26,22.22633333333334,25.810666666666663,16.694927536231887,2.4441304347826085,20.04219142857143,680.4782608695652,26.83033943661971,28.92499101796408,21.939275263157896,7.552300425531913,20.815488260869564,643.6270833333332,42.15515833333334,43.111616666666656,19.634730434782607,10.647850434782606,18.499143333333333,562.9034782608695,40.80465833333333,42.188266666666664,24.484131250000004,9.750947708333333,17.354145833333334,444.80375000000004,13.708333333333334,15.822083333333333,17.64583333333334,0.7124999999999999,21.166666666666668,450.375
2018-11-27,38.372105263157906,54.100210526315784,40.24444444444446,2.9187499999999997,11.290409722222224,1176.0833333333333,21.945549722222225,26.974352121212117,28.491306666666674,5.298408125,31.478824999999997,628.7243749999999,56.847958333333345,60.65760416666666,37.22524583333334,10.585798333333333,9.693359166666669,750.6883333333334,36.5451375,38.72084166666666,24.402691458333337,10.060495833333334,28.80230958333333,569.1620833333334,20.0,25.301666666666662,31.925000000000008,1.0958333333333334,21.916666666666668,746.4583333333334
2018-11-28,41.697375,52.264374999999994,30.48291666666666,1.9052083333333343,19.3371125,819.8333333333334,42.12588055555555,47.4747101910828,42.06291382978724,5.1845521276595745,20.054796250000003,777.7706521739135,53.673075000000004,55.8243625,31.09818333333334,8.918522083333336,19.580141666666666,770.05125,64.22861666666667,68.31398333333333,40.285647916666655,13.208653541666669,13.96598041666667,500.6933333333334,11.083333333333334,11.596666666666664,13.237499999999999,1.195833333333333,41.916666666666664,750.4583333333334
2018-11-29,18.080340909090914,24.806136363636366,16.898611111111116,1.666458333333333,41.484,545.0833333333334,42.99583472222222,46.582166666666694,40.23828105263158,6.2673379166666665,21.426720833333334,780.4474999999999,46.08884999999998,51.02500416666666,26.47205217391304,10.81849695652174,25.31464166666666,553.9743478260871,44.14230416666666,47.41852916666667,56.92834791666667,13.206724999999993,14.530413749999996,657.8954166666666,9.5,13.223749999999997,3.25,0.7166666666666665,42.791666666666664,265.75
2018-11-30,20.011250000000004,27.573229166666668,19.189722222222215,3.452916666666667,39.08055555555555,576.5416666666666,37.77825649122808,44.21413983050845,44.13630945945946,8.24944073170732,16.86697681818182,924.9527777777777,42.17876666666667,47.080629166666654,27.41400416666667,13.514395833333333,23.90348333333333,582.8450000000001,51.167758333333325,54.53904166666666,61.302356249999995,16.430629166666666,12.161625833333334,527.2200000000001,16.75,22.64125,7.491666666666666,1.575,42.25,235.04166666666666
2018-12-01,42.57541666666667,55.667500000000025,31.73930555555556,4.986875,18.574777777777783,941.5,81.3002488888889,82.90475241935482,51.228199999999994,9.664007096774194,8.050864375,1253.685,76.99209583333334,87.73962916666666,28.1951625,14.936741666666668,11.528330833333335,803.2416666666668,60.01414583333334,62.608,46.244054166666665,19.960170270270275,14.30034041666667,690.84875,24.083333333333332,35.49,12.16666666666667,1.3624999999999998,21.708333333333332,351.125
2018-12-02,60.15093749999996,70.82385416666666,25.996527777777782,4.450000000000001,16.469470422535206,1108.0416666666667,68.61841250000003,70.60178869047624,46.28673020833335,11.382062916666674,8.662836666666667,1328.7152083333333,49.57474166666666,50.51925416666666,21.81180833333333,14.691899999999999,15.613616666666664,682.98875,33.805550000000004,34.558187499999995,35.45589791666668,14.040924705882354,24.161127083333337,247.23049999999998,56.75,35.657,13.212499999999999,1.275,12.25,556.1666666666666
2018-12-03,31.161041666666666,35.85729166666666,30.292777777777783,3.366875,11.250326388888883,1118.7916666666667,42.43375152777779,46.2316130952381,56.20082659574466,10.865368936170215,8.5402025,1329.3421739130438,26.356795833333337,27.066987499999993,28.259673913043482,15.156882608695652,9.865042500000001,618.4369565217391,26.786712500000004,27.242379166666655,41.36697291666667,12.301263749999997,22.623374999999996,286.7625,24.083333333333332,35.824,11.795833333333334,1.4833333333333332,21.875,441.5833333333333
2018-12-04,27.596874999999994,32.58510416666667,30.88666666666667,3.9758333333333336,14.00218611111111,1027.75,31.309455416666676,35.21934839285713,43.46421368421052,8.563047500000001,11.75957125,1108.4970833333334,17.91511958333333,19.0713175,26.508583333333334,13.557420833333337,29.565259166666667,468.89541666666673,29.679025,30.952825000000004,43.72686458333333,10.192539166666664,20.276773750000004,399.03130434782616,23.625,29.04291666666667,17.35,1.0125000000000002,12.875,568.8333333333334
2018-12-05,21.443541666666665,28.23666666666668,35.18253521126761,8.390625,26.06343055555554,866.875,34.210977638888885,46.02813053892215,49.13373333333332,7.726905416666665,21.418209583333336,866.3156250000002,34.0213375,36.46080291666667,32.69311458333333,10.41515625,23.805479583333337,749.4700000000001,41.65397083333334,46.414404166666664,58.049462499999976,11.425422708333334,19.612190833333333,697.1404166666666,11.541666666666666,14.059166666666664,18.545833333333334,1.5291666666666668,38.43478260869565,381.5833333333333
2018-12-06,41.84156249999999,51.11104166666669,32.49666666666667,2.7395833333333335,10.633922222222221,1038.25,59.46599861111112,80.07212380952382,61.75461684210528,9.277852340425529,6.694729130434784,1219.130625,48.2999625,51.62791250000003,38.42402083333334,13.256066666666664,12.580556666666668,745.2633333333333,78.07785,81.97007083333334,66.16797916666665,17.974695833333335,10.22399208333333,854.4225000000001,16.0,15.405,11.283333333333333,1.1250000000000002,34.0,364.3333333333333
2018-12-07,29.084062499999998,33.45479166666665,46.9680681818182,3.0075000000000003,9.494599999999998,1155.1666666666667,49.06735833333332,54.581609226190494,54.756678124999986,10.288025833333338,6.769407916666668,1352.0977083333332,27.972804166666663,28.329154166666672,24.583615789473683,10.24967473684211,12.399391666666668,716.6568421052633,21.673445833333332,22.099166666666665,38.73789583333333,9.689216666666665,20.513725833333336,357.3325,15.0,19.757500000000004,16.1,0.68125,13.0625,456.625
2018-12-08,18.838333333333328,22.819523809523805,46.64190476190476,4.662619047619048,28.291761904761906,905.6666666666666,22.622667424242422,29.66961331168832,42.86936162790698,8.584093720930234,26.074203181818177,980.3952380952383,9.258393636363637,9.756101818181817,12.618582727272726,9.166471363636363,48.13025454545454,638.9377272727274,23.67183181818182,24.618081818181818,34.53035227272727,9.104271818181816,37.06276818181818,380.7127272727272,13.272727272727273,14.839545454545457,13.031818181818181,0.9227272727272726,26.318181818181817,443.72727272727275
2018-12-09,12.535312500000002,14.368333333333332,40.940421052631564,2.9010416666666674,41.22319444444447,833.5416666666666,9.064699861111107,10.3294156547619,32.09871042105262,7.845173749999997,44.8780875,716.5202083333335,10.16990875,10.411759166666664,10.393209999999998,9.089838333333335,49.540504166666665,654.4491666666667,11.59236708333333,11.965687500000001,27.973587500000004,7.071244374999999,49.44112916666666,233.27833333333334,14.666666666666666,18.188750000000002,5.1625000000000005,1.341666666666667,34.958333333333336,402.4583333333333
2018-12-10,13.15213483146067,16.17460674157303,42.92227272727269,6.918372093023256,29.277014925373138,778.6666666666666,12.237482777777776,15.550163076923077,33.26897395833333,7.302377916666667,37.71015833333333,666.0479166666667,6.789237500000001,7.241745000000002,14.586073750000002,8.078973749999998,45.546820833333335,637.1568749999999,17.26023375,18.235960416666664,40.48830354166666,10.10938375,43.856770833333336,307.17791666666665,9.708333333333334,11.926666666666668,17.32916666666667,0.9125000000000001,28.75,456.7083333333333
2018-12-11,25.77874999999999,35.60833333333334,53.818854166666654,2.785833333333333,24.24450416666666,953.5,23.269400555555553,25.794788928571435,45.49116210526317,6.766215531914894,20.37423913043478,899.4785416666667,9.43568375,9.693609166666668,16.303759130434784,7.505475869565222,27.7361125,685.2491304347826,31.28635,31.90599166666667,47.606983333333346,9.047149166666665,22.165969583333336,451.6908333333333,20.458333333333332,27.111666666666665,25.658333333333335,1.0391304347826085,15.583333333333334,460.0833333333333
2018-12-12,31.35894736842106,37.560947368421054,45.913789473684204,1.9120833333333327,12.273347222222219,922.4583333333334,33.025694285714295,37.40504939759035,37.85398750000001,5.909128541666668,9.474758333333334,953.0806250000002,33.14012499999999,35.737183333333334,24.100467708333326,6.953601250000002,18.58179041666667,790.3462499999999,38.529512499999996,39.32429583333333,27.781891666666667,8.222127291666665,10.582448333333334,467.72999999999996,13.722222222222221,16.930416666666662,19.511111111111113,0.5388888888888889,13.416666666666666,405.3888888888889
2018-12-13,16.078977272727272,19.104886363636364,39.64329545454546,1.5642857142857143,19.922138461538463,756.5909090909091,52.879603124999996,63.152149324324306,38.51106395348838,8.716599302325582,13.153000000000002,1031.7635714285711,24.262290909090915,25.64059545454546,17.411087954545458,6.976782954545455,24.954250000000002,536.3313953488372,54.66166818181818,57.080640909090924,38.289084090909085,13.34343863636364,8.852435000000002,690.8190909090908,7.545454545454546,8.905454545454544,18.013636363636365,1.468181818181818,22.545454545454547,348.04545454545456
2018-12-14,21.969318181818185,25.38784090909091,41.288238636363644,2.5341071428571427,0.6895,857.8106060606061,74.45988333333334,83.163,25.671785714285715,9.759282500000001,3.5071649999999996,1093.7875,28.63235,33.43114772727273,11.145452500000001,3.39231,19.715475,464.46000000000004,90.91024999999999,92.68815000000001,29.470825,17.300649999999997,1.7387299999999999,637.085,6.5,11.455,9.0,1.0,16.5,298.5
2018-12-15,27.859659090909098,31.67079545454546,42.93318181818183,3.503928571428571,8.9255,959.030303030303,20.244600000000002,20.69695714285714,19.457925,6.589035000000001,25.0516,746.14,40.7103,41.2217,15.739650000000001,8.22279,14.4767,514.115,38.5369,39.5111,16.478749999999998,9.317575,20.8282,501.33,23.0,13.61,9.3,0.6,30.0,330.0
2018-12-16,33.75000000000001,37.95375000000001,44.578125000000014,4.473749999999999,18.834333333333333,1060.25,112.17597857142859,117.6791882352941,60.588387499999996,7.11942,4.9300774999999994,2094.83125,48.237025,49.525949999999995,23.453187500000002,9.96095875,19.276249999999997,597.91125,89.87105,91.21775,53.086837499999994,24.25225,4.20959,1008.3975,14.75,15.264999999999999,7.25,1.15,38.75,324.5
2018-12-17,46.33333333333332,56.36297872340426,55.87505376344083,6.066739130434782,12.170638571428572,1335.590909090909,126.79478472222218,132.13502738095235,58.77954526315791,11.507185319148938,4.339543333333334,2027.9495744680848,78.75969166666667,82.87271666666665,30.62923541666667,10.444568749999997,7.228105,913.9189583333335,95.01067083333332,98.10629583333333,58.13101666666668,26.173350000000003,3.3286179166666674,1032.73125,19.125,21.56125,15.950000000000003,1.8458333333333332,32.625,412.125
2018-12-18,81.19944444444444,97.88926315789473,60.139560439560455,7.35541666666667,5.1964928571428555,1685.2105263157894,98.28641388888886,108.2620375,53.97677052631579,15.41777833333333,4.0553091666666665,1690.228085106383,99.17599583333333,103.1912875,26.93882916666666,9.628212916666664,3.3538658333333338,1165.7308333333335,94.38595416666665,98.95268333333333,61.3560260869565,30.317049999999995,2.602448333333333,997.0129166666667,42.166666666666664,46.812916666666666,25.404166666666665,1.7291666666666667,15.043478260869565,614.9583333333334
2018-12-19,46.4455294117647,54.523125000000014,40.70341176470587,5.189791666666666,28.29467916666666,1028.4,62.13223225806451,69.65367721518983,45.392684705882345,7.879955416666665,14.032769583333335,1186.0831578947368,75.6225375,77.30575416666669,34.083630434782606,12.041637826086955,8.36130375,853.312391304348,68.35893333333333,70.34093333333333,54.9423076923077,16.96863076923077,7.055677083333333,584.8206666666666,38.75,47.392500000000005,12.69166666666667,1.4739130434782608,19.5,467.3333333333333
2018-12-20,35.19728260869565,42.96625,44.98076086956522,11.436666666666666,23.522359722222234,913.6315789473684,74.10432786885241,81.11230700636942,57.317145882352946,11.662015833333335,6.695023750000001,1607.6313513513517,64.71952083333333,66.5722,38.45771458333333,11.194281875,7.485227916666665,742.8260416666667,66.97192500000001,68.51845,39.637016666666675,22.52433888888889,10.401128333333332,1098.4677777777779,21.5,23.699583333333326,6.962499999999999,1.1333333333333335,33.23809523809524,317.625
